Reference, Value, Footprint, Datasheet, Supplier Num, Supplier Name
"U1","TLV1117LV33DCYR","ADC:TLV1117","","296-28778-1-ND","Texas Instruments","
",""
"C4",".1uF","Capacitors_SMD:C_0402","","",""
"C2",".1uF","Capacitors_SMD:C_0402","","",""
"P1","CONNX25","mods:25_pin_10in","","ED10025-ND","Mill-Max Manufacturing Corp.","
",""
"P2","CONNX25","mods:25_pin_10in","","ED10025-ND","Mill-Max Manufacturing Corp.","
",""
"IC1","74HC4067","ADC:74HC_HTC4067","","568-12173-2-ND","NXP Semiconductors","
",""
"C1",".1uF","Capacitors_SMD:C_0402","","",""
"C3",".1uF","Capacitors_SMD:C_0402","","",""
"U2","MCP6001","ADC:MCP6001","","MCP6001T-I/OTCT-ND","Microchip Technology","
",""
"R1","10k","Resistors_SMD:R_0402","","",""
"U3","MCP6004","ADC:MCP6004","","MCP6004T-I/STCT-ND","Microchip Technology","
",""
"R2","1 M ","Resistors_SMD:R_0402","","",""
"R4","R","Resistors_SMD:R_0402","","",""
"R3","R","Resistors_SMD:R_0402","","",""
"R5","10k","Resistors_SMD:R_0402","","",""
"C5",".1uF","Capacitors_SMD:C_0402","","",""
"R10","1 M ","Resistors_SMD:R_0402","","",""
"R11","R","Resistors_SMD:R_0402","","",""
"R12","R","Resistors_SMD:R_0402","","",""
"R13","10k","Resistors_SMD:R_0402","","",""
"R14","1 M ","Resistors_SMD:R_0402","","",""
"R15","R","Resistors_SMD:R_0402","","",""
"R16","R","Resistors_SMD:R_0402","","",""
"R17","10k","Resistors_SMD:R_0402","","",""
"R6","1 M ","Resistors_SMD:R_0402","","",""
"R7","R","Resistors_SMD:R_0402","","",""
"R8","R","Resistors_SMD:R_0402","","",""
"R9","10k","Resistors_SMD:R_0402","","",""
"C6",".1uF","Capacitors_SMD:C_0402","","",""
"C8",".1uF","Capacitors_SMD:C_0402","","",""
"C7",".1uF","Capacitors_SMD:C_0402","","",""
"C9",".1uF","Capacitors_SMD:C_0402","","",""
"U4","MCP6004","ADC:MCP6004","","MCP6004T-I/STCT-ND","Microchip Technology","
",""
"R18","1 M ","Resistors_SMD:R_0402","","",""
"R20","R","Resistors_SMD:R_0402","","",""
"R19","R","Resistors_SMD:R_0402","","",""
"R21","10k","Resistors_SMD:R_0402","","",""
"C10",".1uF","Capacitors_SMD:C_0402","","",""
"R26","1 M ","Resistors_SMD:R_0402","","",""
"R27","R","Resistors_SMD:R_0402","","",""
"R28","R","Resistors_SMD:R_0402","","",""
"R29","10k","Resistors_SMD:R_0402","","",""
"R30","1 M ","Resistors_SMD:R_0402","","",""
"R31","R","Resistors_SMD:R_0402","","",""
"R32","R","Resistors_SMD:R_0402","","",""
"R33","10k","Resistors_SMD:R_0402","","",""
"R22","1 M ","Resistors_SMD:R_0402","","",""
"R23","R","Resistors_SMD:R_0402","","",""
"R24","R","Resistors_SMD:R_0402","","",""
"R25","10k","Resistors_SMD:R_0402","","",""
"C11",".1uF","Capacitors_SMD:C_0402","","",""
"C13",".1uF","Capacitors_SMD:C_0402","","",""
"C12",".1uF","Capacitors_SMD:C_0402","","",""
"C14",".1uF","Capacitors_SMD:C_0402","","",""
"U5","MCP6004","ADC:MCP6004","","MCP6004T-I/STCT-ND","Microchip Technology","
",""
"R34","1 M ","Resistors_SMD:R_0402","","",""
"R36","R","Resistors_SMD:R_0402","","",""
"R35","R","Resistors_SMD:R_0402","","",""
"R37","10k","Resistors_SMD:R_0402","","",""
"C15",".1uF","Capacitors_SMD:C_0402","","",""
"R42","1 M ","Resistors_SMD:R_0402","","",""
"R43","R","Resistors_SMD:R_0402","","",""
"R44","R","Resistors_SMD:R_0402","","",""
"R45","10k","Resistors_SMD:R_0402","","",""
"R46","1 M ","Resistors_SMD:R_0402","","",""
"R47","R","Resistors_SMD:R_0402","","",""
"R48","R","Resistors_SMD:R_0402","","",""
"R49","10k","Resistors_SMD:R_0402","","",""
"R38","1 M ","Resistors_SMD:R_0402","","",""
"R39","R","Resistors_SMD:R_0402","","",""
"R40","R","Resistors_SMD:R_0402","","",""
"R41","10k","Resistors_SMD:R_0402","","",""
"C16",".1uF","Capacitors_SMD:C_0402","","",""
"C18",".1uF","Capacitors_SMD:C_0402","","",""
"C17",".1uF","Capacitors_SMD:C_0402","","",""
"C19",".1uF","Capacitors_SMD:C_0402","","",""
"U6","MCP6004","ADC:MCP6004","","MCP6004T-I/STCT-ND","Microchip Technology","
",""
"R50","1 M ","Resistors_SMD:R_0402","","",""
"R52","R","Resistors_SMD:R_0402","","",""
"R51","R","Resistors_SMD:R_0402","","",""
"R53","10k","Resistors_SMD:R_0402","","",""
"C20",".1uF","Capacitors_SMD:C_0402","","",""
"R58","1 M ","Resistors_SMD:R_0402","","",""
"R59","R","Resistors_SMD:R_0402","","",""
"R60","R","Resistors_SMD:R_0402","","",""
"R61","10k","Resistors_SMD:R_0402","","",""
"R62","1 M ","Resistors_SMD:R_0402","","",""
"R63","R","Resistors_SMD:R_0402","","",""
"R64","R","Resistors_SMD:R_0402","","",""
"R65","10k","Resistors_SMD:R_0402","","",""
"R54","1 M ","Resistors_SMD:R_0402","","",""
"R55","R","Resistors_SMD:R_0402","","",""
"R56","R","Resistors_SMD:R_0402","","",""
"R57","10k","Resistors_SMD:R_0402","","",""
"C21",".1uF","Capacitors_SMD:C_0402","","",""
"C23",".1uF","Capacitors_SMD:C_0402","","",""
"C22",".1uF","Capacitors_SMD:C_0402","","",""
"C24",".1uF","Capacitors_SMD:C_0402","","",""
