"Reference"," Value"," Footprint"," Datasheet"," Catalog number","Supplier Name"
"C1","0.1uF","mods:C_0402",,,"Digi-Key"
"C2","0.1uF","mods:C_0402",,,"Digi-Key"
"C3","1uF","mods:C_0402",,,"Digi-Key"
"C4","1uF","mods:C_0402",,,"Digi-Key"
"C5","0.1uF","mods:C_0402",,,"Digi-Key"
"C6","0.1uF","mods:C_0402",,,"Digi-Key"
"C7","0.1uF","mods:C_0402",,,"Digi-Key"
"C8","0.1uF","mods:C_0402",,,"Digi-Key"
"C9","0.1uF","mods:C_0402",,,"Digi-Key"
"D1","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D2","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D3","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D4","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D5","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D6","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D7","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D8","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D9","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D10","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D11","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D12","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D13","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D14","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D15","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"D16","ZHCS506TA","mods:ZHCS506TA",,"ZHCS506CT-ND","Digi-Key"
"P1","CONN_01X25_1","mods:25_pin_10in",,"ED10025-ND ","Digi-Key"
"P2","CONN_01X25_1","mods:25_pin_10in",,"ED10025-ND ","Digi-Key"
"P3","CONN_01X10","mods:10pin_tenth_in",,"ED10010-ND","Digi-Key"
"P4","CONN_01X10","mods:10pin_tenth_in",,"ED10010-ND","Digi-Key"
"Q1","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q2","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q3","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q4","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q5","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q6","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q7","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q8","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q9","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q10","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q11","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q12","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q13","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q14","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q15","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"Q16","AO3422","mods:AO3422",,"785-1015-1-ND","Digi-Key"
"R1","10k","mods:R_0402",,,"Digi-Key"
"R2","10k","mods:R_0402",,,"Digi-Key"
"R3","10k","mods:R_0402",,,"Digi-Key"
"R4","10k","mods:R_0402",,,"Digi-Key"
"R5","10k","mods:R_0402",,,"Digi-Key"
"R6","10k","mods:R_0402",,,"Digi-Key"
"R7","10k","mods:R_0402",,,"Digi-Key"
"R8","10k","mods:R_0402",,,"Digi-Key"
"R9","10k","mods:R_0402",,,"Digi-Key"
"R10","10k","mods:R_0402",,,"Digi-Key"
"R11","10k","mods:R_0402",,,"Digi-Key"
"R12","10k","mods:R_0402",,,"Digi-Key"
"R13","10k","mods:R_0402",,,"Digi-Key"
"R14","10k","mods:R_0402",,,"Digi-Key"
"R15","10k","mods:R_0402",,,"Digi-Key"
"R15","10k","mods:R_0402",,,"Digi-Key"
"R17","2.2k","mods:R_0402",,,"Digi-Key"
"U1","TLV1117LV33DCYR","mods:TLV1117LV33DCYR",,"296-28778-1-ND","Digi-Key"
"U2","TLC5940PWP","mods:TLC5940PWP",,"296-17733-5-ND","Digi-Key"
