Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,TB,Rotation,Comment
P2,"Through Hole, Right Angle",,,,,-1.002,0.22,bottom,180,
P3,"Through Hole, Right Angle",,,,,-3.298,0.22,bottom,180,
C1,0603 (1608 Metric),,,,,3.593,0.605,top,180,
C2,0603 (1608 Metric),,,,,3.593,0.675,top,0,
C3,0603 (1608 Metric),,,,,3.853,0.765,top,-90,
C4,0603 (1608 Metric),,,,,3.269,0.76,top,-90,
C5,0603 (1608 Metric),,,,,0.688,1.494685,top,90,
C6,0603 (1608 Metric),,,,,3.853,0.95,top,-90,
C7,0603 (1608 Metric),,,,,3.273,0.95,top,-90,
C8,0603 (1608 Metric),,,,,0.619667,1.494685,top,90,
C9,0603 (1608 Metric),,,,,1.664,1.15,top,-90,
C10,0603 (1608 Metric),,,,,1.325,2.18,top,90,
C11,0603 (1608 Metric),,,,,1.835,2.19,top,90,
C12,0603 (1608 Metric),,,,,1.74,1.15,top,-90,
C13,0603 (1608 Metric),,,,,1.835,2.38,top,-90,
C14,0603 (1608 Metric),,,,,1.326,2.39,top,-90,
C16,0603 (1608 Metric),,,,,3.903,1.1,top,90,
C17,0603 (1608 Metric),,,,,3.563,1.1,top,90,
C18,0603 (1608 Metric),,,,,3.628,1.1,top,90,
C19,0603 (1608 Metric),,,,,3.353,1.1,top,90,
CON1,"Through Hole, Right Angle, 2.1mm DC Jack ",,,,,0.53,2.18,top,-90,
D1,"TO-236-3, SC-59, SOT-23-3",,,,,1.302,0.42,top,0,
D2,"TO-236-3, SC-59, SOT-23-3",,,,,1.66,1.619685,top,180,
D3,"TO-236-3, SC-59, SOT-23-3",,,,,1.49,1.619685,top,180,
D4,"TO-236-3, SC-59, SOT-23-3",,,,,3.573,0.42,top,0,
D5,"TO-236-3, SC-59, SOT-23-3",,,,,1.32,1.619685,top,180,
D6,"TO-236-3, SC-59, SOT-23-3",,,,,1.102,0.42,top,0,
D7,"TO-236-3, SC-59, SOT-23-3",,,,,1.15,1.619685,top,180,
D8,"TO-236-3, SC-59, SOT-23-3",,,,,3.403,0.42,top,0,
D9,"TO-236-3, SC-59, SOT-23-3",,,,,0.902,0.42,top,0,
D10,"TO-236-3, SC-59, SOT-23-3",,,,,0.98,1.619685,top,180,
D11,"TO-236-3, SC-59, SOT-23-3",,,,,2.883,0.42,top,0,
D12,"TO-236-3, SC-59, SOT-23-3",,,,,0.81,1.619685,top,180,
JP1,Through Hole,,,,,3.763,1.22,top,180,
JP2,Through Hole,,,,,3.413,1.22,top,180,
P1,Through Hole,,,,,2.455,1.865,top,0,
P4,Through Hole,,,,,1.3,1.92,top,180,
Q1,SOT-23-3,,,,,1.292,0.64,top,180,
Q2,SOT-23-3,,,,,1.66,1.379685,top,0,
Q3,SOT-23-3,,,,,1.49,1.379685,top,0,
Q4,SOT-23-3,,,,,3.753,0.42,top,180,
Q5,SOT-23-3,,,,,1.32,1.379685,top,0,
Q6,SOT-23-3,,,,,1.102,0.64,top,180,
Q7,SOT-23-3,,,,,1.15,1.379685,top,0,
Q8,SOT-23-3,,,,,3.233,0.42,top,180,
Q9,SOT-23-3,,,,,0.902,0.64,top,180,
Q10,SOT-23-3,,,,,0.98,1.379685,top,0,
Q11,SOT-23-3,,,,,3.053,0.42,top,180,
Q12,SOT-23-3,,,,,0.81,1.379685,top,0,
R1,0603 (1608 Metric),,,,,3.413,0.63,top,-90,
R2,0603 (1608 Metric),,,,,3.708,0.64,top,-90,
R3,0603 (1608 Metric),,,,,3.833,1.1,top,-90,
R4,0603 (1608 Metric),,,,,3.493,1.1,top,-90,
R5,0603 (1608 Metric),,,,,3.693,1.1,top,90,
R6,0603 (1608 Metric),,,,,3.283,1.1,top,90,
R7,0603 (1608 Metric),,,,,3.413,0.76,top,90,
R8,0603 (1608 Metric),,,,,3.709,0.765,top,90,
R9,0603 (1608 Metric),,,,,3.339,0.76,top,-90,
R10,0603 (1608 Metric),,,,,3.783,0.765,top,-90,
R11,0603 (1608 Metric),,,,,3.413,0.95,top,-90,
R12,0603 (1608 Metric),,,,,3.713,0.95,top,-90,
R13,0603 (1608 Metric),,,,,3.783,0.95,top,-90,
R14,0603 (1608 Metric),,,,,3.343,0.95,top,-90,
U1,"14-TSSOP (0.173"", 4.40mm Width)",,,,,3.563,0.87,top,0,
U3,SOT-223-3,,,,,1.597701,2.285,top,180,
U4,"TO-252-3, DPak (2 Leads + Tab), SC-63",,,,,1.085079,2.286,top,90,
