Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric",3.593000,0.605000,180.000000,top
"C2",".1u","C_0603_1608Metric",3.593000,0.675000,0.000000,top
"C3",".1u","C_0603_1608Metric",3.853000,0.765000,-90.000000,top
"C4",".1u","C_0603_1608Metric",3.269000,0.760000,-90.000000,top
"C5",".1u","C_0603_1608Metric",0.688000,1.494685,90.000000,top
"C6",".1u","C_0603_1608Metric",3.853000,0.950000,-90.000000,top
"C7",".1u","C_0603_1608Metric",3.273000,0.950000,-90.000000,top
"C8",".1u","C_0603_1608Metric",0.619667,1.494685,90.000000,top
"C9",".1u","C_0603_1608Metric",1.664000,1.150000,-90.000000,top
"C10",".1u","C_0603_1608Metric",1.325000,2.180000,90.000000,top
"C11",".1u","C_0603_1608Metric",1.835000,2.190000,90.000000,top
"C12",".1u","C_0603_1608Metric",1.740000,1.150000,-90.000000,top
"C13",".1u","C_0603_1608Metric",1.835000,2.380000,-90.000000,top
"C14",".1u","C_0603_1608Metric",1.326000,2.390000,-90.000000,top
"C15","10u","FK18X5R0J105K",1.992000,2.069000,-90.000000,top
"C16","1u","C_0603_1608Metric",3.903000,1.100000,90.000000,top
"C17","1u","C_0603_1608Metric",3.563000,1.100000,90.000000,top
"C18","1u","C_0603_1608Metric",3.628000,1.100000,90.000000,top
"C19","1u","C_0603_1608Metric",3.353000,1.100000,90.000000,top
"CON1","BARREL_JACK","2.1mm_DC_Jack",0.530000,2.180000,-90.000000,top
"D1","D","SBR160S23",1.302000,0.420000,0.000000,top
"D2","D","SBR160S23",1.660000,1.619685,180.000000,top
"D3","D","SBR160S23",1.490000,1.619685,180.000000,top
"D4","D","SBR160S23",3.573000,0.420000,0.000000,top
"D5","D","SBR160S23",1.320000,1.619685,180.000000,top
"D6","D","SBR160S23",1.102000,0.420000,0.000000,top
"D7","D","SBR160S23",1.150000,1.619685,180.000000,top
"D8","D","SBR160S23",3.403000,0.420000,0.000000,top
"D9","D","SBR160S23",0.902000,0.420000,0.000000,top
"D10","D","SBR160S23",0.980000,1.619685,180.000000,top
"D11","D","SBR160S23",2.883000,0.420000,0.000000,top
"D12","D","SBR160S23",0.810000,1.619685,180.000000,top
"JP1","Jumper_3_Open","3pinheader_2_54_mm_pitch",3.763000,1.220000,180.000000,top
"JP2","Jumper_3_Open","3pinheader_2_54_mm_pitch",3.413000,1.220000,180.000000,top
"P1","CONN_02X12","24_pin_10in",2.455000,1.865000,0.000000,top
"P4","CONN_02X08","2x8 Connector",1.300000,1.920000,180.000000,top
"P7"," ","screw_terminal",0.115000,1.945000,-90.000000,top
"Q1","Q_NMOS_GSD","A03422",1.292000,0.640000,180.000000,top
"Q2","Q_NMOS_GSD","A03422",1.660000,1.379685,0.000000,top
"Q3","Q_NMOS_GSD","A03422",1.490000,1.379685,0.000000,top
"Q4","Q_NMOS_GSD","A03422",3.753000,0.420000,180.000000,top
"Q5","Q_NMOS_GSD","A03422",1.320000,1.379685,0.000000,top
"Q6","Q_NMOS_GSD","A03422",1.102000,0.640000,180.000000,top
"Q7","Q_NMOS_GSD","A03422",1.150000,1.379685,0.000000,top
"Q8","Q_NMOS_GSD","A03422",3.233000,0.420000,180.000000,top
"Q9","Q_NMOS_GSD","A03422",0.902000,0.640000,180.000000,top
"Q10","Q_NMOS_GSD","A03422",0.980000,1.379685,0.000000,top
"Q11","Q_NMOS_GSD","A03422",3.053000,0.420000,180.000000,top
"Q12","Q_NMOS_GSD","A03422",0.810000,1.379685,0.000000,top
"R1","10k","R_0603_1608Metric",3.413000,0.630000,-90.000000,top
"R2","10k","R_0603_1608Metric",3.708000,0.640000,-90.000000,top
"R3","1M","R_0603_1608Metric",3.833000,1.100000,-90.000000,top
"R4","1M","R_0603_1608Metric",3.493000,1.100000,-90.000000,top
"R5","100k","R_0603_1608Metric",3.693000,1.100000,90.000000,top
"R6","100k","R_0603_1608Metric",3.283000,1.100000,90.000000,top
"R7","10k","R_0603_1608Metric",3.413000,0.760000,90.000000,top
"R8","10k","R_0603_1608Metric",3.709000,0.765000,90.000000,top
"R9","10k","R_0603_1608Metric",3.339000,0.760000,-90.000000,top
"R10","10k","R_0603_1608Metric",3.783000,0.765000,-90.000000,top
"R11","10k","R_0603_1608Metric",3.413000,0.950000,-90.000000,top
"R12","10k","R_0603_1608Metric",3.713000,0.950000,-90.000000,top
"R13","10k","R_0603_1608Metric",3.783000,0.950000,-90.000000,top
"R14","10k","R_0603_1608Metric",3.343000,0.950000,-90.000000,top
"U1","MCP6004","mcp6004-ssop",3.563000,0.870000,0.000000,top
"U3","AP7361C-33E","SOT-223-3_TabPin2",1.597701,2.285000,180.000000,top
"U4","L7805CDT","L7805CDT",1.085079,2.286000,90.000000,top
